,open,close,high,low,volume,money
2020-01-02 09:35:00,3073.93,3082.93,3086.14,3073.93,577661600.0,11259672561.0
2020-01-02 09:40:00,3082.42,3084.3,3086.85,3080.9,328355500.0,5945536453.0
2020-01-02 09:45:00,3083.78,3078.3,3084.51,3078.3,254965100.0,4783939501.0
2020-01-02 09:50:00,3078.62,3080.21,3080.79,3077.69,188960000.0,3554877737.0
2020-01-02 09:55:00,3080.24,3088.61,3088.61,3079.99,213321900.0,3956351905.0
2020-01-02 10:00:00,3088.91,3090.39,3090.39,3086.03,162909100.0,3158252731.0
2020-01-02 10:05:00,3090.11,3096.28,3096.28,3090.11,183270600.0,3856965048.0
2020-01-02 10:10:00,3096.85,3094.15,3098.58,3094.15,168571800.0,3053658173.0
2020-01-02 10:15:00,3094.36,3096.99,3097.19,3094.36,117556200.0,2163973282.0
2020-01-02 10:20:00,3096.91,3095.49,3098.64,3095.49,112922600.0,2284109516.0
2020-01-02 10:25:00,3095.43,3098.7,3098.87,3094.74,105713600.0,1937548115.0
2020-01-02 10:30:00,3099.02,3101.65,3103.37,3099.02,120476700.0,2296282853.0
2020-01-02 10:35:00,3101.4,3100.88,3102.05,3100.45,84536600.0,1853110818.0
2020-01-02 10:40:00,3101.27,3103.95,3104.69,3101.27,110234200.0,2035776318.0
2020-01-02 10:45:00,3103.87,3106.8,3107.24,3103.87,138999800.0,1954788370.0
2020-01-02 10:50:00,3106.71,3096.7,3107.52,3096.7,106937000.0,1899915155.0
2020-01-02 10:55:00,3096.69,3097.62,3099.59,3096.5,83101400.0,1544592982.0
2020-01-02 11:00:00,3097.04,3101.36,3101.66,3096.37,73983500.0,1441337837.0
2020-01-02 11:05:00,3101.54,3102.8,3103.75,3101.54,73688800.0,1216811426.0
2020-01-02 11:10:00,3102.04,3099.67,3102.19,3099.08,66993800.0,1082196754.0
2020-01-02 11:15:00,3100.03,3102.69,3103.91,3100.03,62461600.0,1086368437.0
2020-01-02 11:20:00,3102.74,3103.36,3104.11,3102.26,52494000.0,1052400217.0
2020-01-02 11:25:00,3102.99,3095.69,3103.9,3095.69,66709400.0,1206564781.0
2020-01-02 11:30:00,3095.35,3093.14,3095.88,3092.57,65860100.0,1152355051.0
2020-01-02 13:05:00,3093.32,3094.71,3095.49,3093.27,70156400.0,1425549714.0
2020-01-02 13:10:00,3094.24,3092.39,3094.86,3092.39,55416500.0,1111333318.0
2020-01-02 13:15:00,3092.0,3086.4,3092.64,3086.01,69135400.0,1474443810.0
2020-01-02 13:20:00,3086.37,3087.67,3088.29,3085.97,55640500.0,1226136312.0
2020-01-02 13:25:00,3087.88,3089.35,3090.02,3087.66,53954500.0,1022731726.0
2020-01-02 13:30:00,3089.54,3087.11,3090.6,3086.84,50790100.0,1063498610.0
2020-01-02 13:35:00,3087.12,3086.6,3087.28,3086.19,58824500.0,1090983276.0
2020-01-02 13:40:00,3087.17,3089.98,3089.98,3086.62,52694600.0,889638793.0
2020-01-02 13:45:00,3089.29,3092.57,3093.32,3089.29,60949400.0,964842903.0
2020-01-02 13:50:00,3092.84,3093.64,3093.64,3092.12,62821000.0,1011940228.0
2020-01-02 13:55:00,3094.24,3094.93,3097.2,3094.19,70667600.0,1342837596.0
2020-01-02 14:00:00,3095.0,3098.38,3098.38,3094.4,51825800.0,1067388861.0
2020-01-02 14:05:00,3098.08,3097.08,3098.96,3096.51,83842600.0,1305163140.0
2020-01-02 14:10:00,3096.77,3092.76,3096.99,3092.76,47618000.0,1077508536.0
2020-01-02 14:15:00,3093.17,3090.85,3093.17,3090.43,52955700.0,1090247139.0
2020-01-02 14:20:00,3091.29,3092.71,3092.9,3090.83,40991700.0,876024023.0
2020-01-02 14:25:00,3092.29,3093.91,3093.91,3091.29,55954500.0,1192144945.0
2020-01-02 14:30:00,3093.57,3091.84,3094.35,3091.08,59745000.0,1054962725.0
