,open,close,high,low,volume,money
2020-01-02 09:35:00,143.21,143.8,144.7,143.21,186853.0,26906041.0
2020-01-02 09:40:00,143.65,145.0,145.45,143.65,204578.0,29607035.0
2020-01-02 09:45:00,144.97,144.1,145.0,143.67,118661.0,17110999.0
2020-01-02 09:50:00,144.11,145.38,145.7,143.97,212587.0,30835038.0
2020-01-02 09:55:00,145.3,146.05,146.46,145.2,218997.0,31933137.0
2020-01-02 10:00:00,145.81,146.8,146.8,145.31,196167.0,28661568.0
2020-01-02 10:05:00,146.81,147.22,147.28,146.58,241627.0,35508827.0
2020-01-02 10:10:00,147.22,146.8,147.22,146.2,147000.0,21587097.0
2020-01-02 10:15:00,146.8,147.56,147.8,146.8,173433.0,25574682.0
2020-01-02 10:20:00,147.55,146.4,147.56,146.4,127172.0,18695484.0
2020-01-02 10:25:00,146.37,147.05,147.05,146.21,84014.0,12321294.0
2020-01-02 10:30:00,147.05,147.35,147.65,146.85,109248.0,16078613.0
2020-01-02 10:35:00,147.35,146.95,147.35,146.8,91124.0,13406231.0
2020-01-02 10:40:00,146.95,147.01,147.16,146.63,74902.0,11002980.0
2020-01-02 10:45:00,146.81,146.9,147.1,146.67,61683.0,9057962.0
2020-01-02 10:50:00,146.95,146.71,147.08,146.68,47165.0,6925690.0
2020-01-02 10:55:00,146.7,146.49,146.7,146.34,52972.0,7761154.0
2020-01-02 11:00:00,146.49,146.75,146.75,146.49,37151.0,5446718.0
2020-01-02 11:05:00,146.72,146.86,147.08,146.5,59079.0,8672659.0
2020-01-02 11:10:00,147.0,147.16,147.16,146.82,48165.0,7078447.0
2020-01-02 11:15:00,147.16,148.23,148.3,147.16,226106.0,33439965.0
2020-01-02 11:20:00,148.24,148.97,149.0,148.17,123668.0,18363356.0
2020-01-02 11:25:00,148.96,148.65,149.4,148.65,146298.0,21817231.0
2020-01-02 11:30:00,148.65,147.98,148.65,147.91,75201.0,11142533.0
2020-01-02 13:05:00,147.91,149.28,149.3,147.91,104742.0,15567445.0
2020-01-02 13:10:00,149.22,148.7,149.43,148.46,48966.0,7299420.0
2020-01-02 13:15:00,148.7,149.1,149.38,148.47,99236.0,14789241.0
2020-01-02 13:20:00,148.8,148.89,149.31,148.8,118060.0,17592363.0
2020-01-02 13:25:00,148.9,149.68,149.68,148.9,135082.0,20157081.0
2020-01-02 13:30:00,149.69,149.4,149.85,149.4,154509.0,23123734.0
2020-01-02 13:35:00,149.4,149.61,149.64,149.4,78106.0,11679731.0
2020-01-02 13:40:00,149.61,149.0,149.61,149.0,115656.0,17263925.0
2020-01-02 13:45:00,149.1,148.3,149.1,148.3,104140.0,15496546.0
2020-01-02 13:50:00,148.4,148.4,148.64,148.21,63486.0,9424720.0
2020-01-02 13:55:00,148.4,149.39,149.4,148.4,56576.0,8412950.0
2020-01-02 14:00:00,149.49,149.3,149.49,148.9,56776.0,8474446.0
2020-01-02 14:05:00,149.35,149.76,149.78,149.18,84916.0,12699213.0
2020-01-02 14:10:00,149.8,149.18,149.8,149.18,62284.0,9309389.0
2020-01-02 14:15:00,149.18,148.94,149.38,148.8,98633.0,14693079.0
2020-01-02 14:20:00,148.96,149.11,149.16,148.8,35748.0,5326613.0
2020-01-02 14:25:00,149.11,149.22,149.22,148.91,57677.0,8595636.0
2020-01-02 14:30:00,149.22,149.07,149.3,149.0,87118.0,12993597.0
2020-01-02 14:35:00,149.07,149.06,149.45,149.02,87818.0,13106862.0
2020-01-02 14:40:00,149.06,149.1,149.3,149.03,29439.0,4386857.0
2020-01-02 14:45:00,149.24,148.44,149.38,148.37,109949.0,16375184.0
2020-01-02 14:50:00,148.44,149.06,149.3,148.44,86817.0,12941619.0
2020-01-02 14:55:00,149.06,149.03,149.25,148.89,145396.0,21677165.0
2020-01-02 15:00:00,149.03,148.91,149.09,148.89,108246.0,16122035.0
2020-01-03 09:35:00,150.14,148.99,150.2,147.9,209584.0,31287993.0
2020-01-03 09:40:00,148.99,147.13,148.99,146.82,220498.0,32585869.0
2020-01-03 09:45:00,147.13,146.78,147.3,146.28,195864.0,28756831.0
2020-01-03 09:50:00,146.78,145.53,146.78,145.16,274071.0,40020665.0
2020-01-03 09:55:00,145.5,143.32,145.5,143.32,359686.0,51895090.0
2020-01-03 10:00:00,143.33,143.24,143.41,142.84,297803.0,42618517.0
2020-01-03 10:05:00,143.19,144.0,144.43,143.01,258350.0,37132142.0
2020-01-03 10:10:00,144.1,143.38,144.28,143.22,224304.0,32214588.0
2020-01-03 10:15:00,143.38,143.4,143.7,142.84,347771.0,49795165.0
2020-01-03 10:20:00,143.36,143.31,143.8,143.19,126371.0,18118950.0
2020-01-03 10:25:00,143.31,142.61,143.47,142.61,438194.0,62639375.0
2020-01-03 10:30:00,143.02,142.67,143.02,142.62,236220.0,33732481.0
2020-01-03 10:35:00,142.67,141.11,142.71,140.91,501780.0,71179479.0
2020-01-03 10:40:00,141.2,140.66,141.21,140.61,352878.0,49678154.0
2020-01-03 10:45:00,140.69,140.31,140.7,139.91,362089.0,50781516.0
2020-01-03 10:50:00,140.21,140.03,140.7,140.03,150904.0,21187766.0
2020-01-03 10:55:00,140.01,138.68,140.12,138.61,496672.0,69244912.0
2020-01-03 11:00:00,138.66,139.81,139.81,138.31,266561.0,37013612.0
2020-01-03 11:05:00,139.81,140.71,141.19,139.81,250038.0,35150992.0
2020-01-03 11:10:00,140.64,140.31,140.71,139.81,166626.0,23359379.0
2020-01-03 11:15:00,140.11,138.81,140.11,138.81,202374.0,28194851.0
2020-01-03 11:20:00,138.82,138.83,139.26,138.71,113754.0,15801380.0
2020-01-03 11:25:00,138.86,138.37,138.86,138.37,203675.0,28239499.0
2020-01-03 11:30:00,138.37,138.16,138.4,137.89,221801.0,30651479.0
2020-01-03 13:05:00,138.17,139.71,139.71,138.16,107046.0,14856696.0
2020-01-03 13:10:00,139.77,140.26,140.27,139.77,82712.0,11570468.0
2020-01-03 13:15:00,140.27,139.13,140.27,139.06,66991.0,9347438.0
2020-01-03 13:20:00,139.13,138.61,139.23,138.56,77804.0,10801348.0
2020-01-03 13:25:00,138.61,139.51,139.74,138.52,104441.0,14531322.0
2020-01-03 13:30:00,139.73,138.94,139.81,138.82,72398.0,10103218.0
2020-01-03 13:35:00,139.72,140.61,140.71,139.15,106344.0,14879206.0
2020-01-03 13:40:00,140.61,142.24,142.24,140.61,161719.0,22880559.0
2020-01-03 13:45:00,142.25,141.61,142.25,141.29,170430.0,24165329.0
2020-01-03 13:50:00,141.61,141.38,141.78,141.38,77806.0,11019367.0
2020-01-03 13:55:00,141.38,140.77,141.38,140.51,80909.0,11395032.0
2020-01-03 14:00:00,140.86,142.0,142.03,140.76,89922.0,12717593.0
2020-01-03 14:05:00,142.03,141.81,142.09,141.34,68993.0,9776703.0
2020-01-03 14:10:00,141.81,141.56,142.09,141.52,86518.0,12273262.0
2020-01-03 14:15:00,141.55,141.42,141.61,141.39,105642.0,14948120.0
2020-01-03 14:20:00,141.41,140.83,141.43,140.51,133080.0,18749676.0
2020-01-03 14:25:00,140.83,144.03,144.03,140.81,248536.0,35538156.0
2020-01-03 14:30:00,144.06,142.81,144.24,142.69,257048.0,36896075.0
2020-01-03 14:35:00,142.81,143.09,143.51,142.21,201773.0,28837568.0
2020-01-03 14:40:00,143.09,145.03,145.03,142.81,251942.0,36257491.0
2020-01-03 14:45:00,145.07,144.81,145.16,143.8,258550.0,37413145.0
2020-01-03 14:50:00,144.8,144.95,145.09,144.31,217696.0,31539616.0
2020-01-03 14:55:00,144.95,144.97,145.0,144.8,175638.0,25446044.0
2020-01-03 15:00:00,144.96,144.8,145.0,144.8,129175.0,18714559.0
2020-01-06 09:35:00,141.47,140.28,141.69,139.92,398940.0,56147003.0
2020-01-06 09:40:00,140.29,141.11,141.61,140.29,338458.0,47618828.0
2020-01-06 09:45:00,141.08,143.28,144.6,140.91,225004.0,32142894.0
2020-01-06 09:50:00,143.21,142.81,143.9,142.81,154108.0,22127060.0
2020-01-06 09:55:00,143.02,141.18,143.48,141.06,202875.0,28843513.0
2020-01-06 10:00:00,141.06,141.59,142.02,140.81,132479.0,18713004.0
2020-01-06 10:05:00,141.68,141.81,142.6,140.89,92324.0,13058739.0
2020-01-06 10:10:00,141.77,141.68,142.16,141.68,98233.0,13929063.0
2020-01-06 10:15:00,141.61,141.35,141.61,140.91,120763.0,17049486.0
2020-01-06 10:20:00,141.35,140.65,141.49,140.55,160117.0,22566694.0
2020-01-06 10:25:00,140.59,140.19,141.06,140.11,227207.0,31879350.0
2020-01-06 10:30:00,140.12,139.81,140.35,139.8,279378.0,39115789.0
2020-01-06 10:35:00,139.8,140.04,140.55,139.41,169429.0,23680643.0
2020-01-06 10:40:00,139.91,141.44,141.61,139.91,92425.0,12993907.0
2020-01-06 10:45:00,141.44,141.41,141.69,141.04,62484.0,8837200.0
2020-01-06 10:50:00,141.61,141.62,141.65,141.13,61684.0,8726087.0
2020-01-06 10:55:00,141.65,141.76,141.9,141.21,72698.0,10292435.0
2020-01-06 11:00:00,141.75,141.85,141.85,141.44,38954.0,5517256.0
2020-01-06 11:05:00,141.81,141.91,142.03,141.62,44760.0,6347731.0
2020-01-06 11:10:00,141.91,141.25,141.95,140.81,64988.0,9202884.0
2020-01-06 11:15:00,141.25,141.51,141.71,141.17,57078.0,8071987.0
2020-01-06 11:20:00,141.58,141.23,141.58,141.22,23432.0,3311987.0
2020-01-06 11:25:00,141.23,141.68,141.78,141.22,52571.0,7439922.0
2020-01-06 11:30:00,141.67,141.75,141.91,141.39,32043.0,4543141.0
2020-01-06 13:05:00,141.75,141.41,141.75,141.21,95329.0,13493644.0
2020-01-06 13:10:00,141.41,141.49,141.51,141.16,93427.0,13202868.0
2020-01-06 13:15:00,141.49,142.01,142.01,141.27,97432.0,13793175.0
2020-01-06 13:20:00,141.92,141.46,141.92,141.31,102639.0,14535238.0
2020-01-06 13:25:00,141.47,142.14,142.17,141.47,113354.0,16091990.0
2020-01-06 13:30:00,142.13,142.13,142.32,141.87,83714.0,11893088.0
2020-01-06 13:35:00,142.13,142.13,142.3,142.01,69896.0,9941176.0
2020-01-06 13:40:00,142.19,141.91,142.19,141.91,49166.0,6985260.0
2020-01-06 13:45:00,142.01,143.01,143.17,141.91,103040.0,14694604.0
2020-01-06 13:50:00,143.12,143.02,143.16,142.47,90923.0,12984104.0
2020-01-06 13:55:00,143.01,142.82,143.01,142.22,66990.0,9557856.0
2020-01-06 14:00:00,142.91,142.81,143.09,142.27,65890.0,9407484.0
2020-01-06 14:05:00,142.81,141.81,142.81,141.81,50869.0,7242663.0
2020-01-06 14:10:00,142.01,141.66,142.01,141.16,116857.0,16540346.0
2020-01-06 14:15:00,141.65,140.59,141.65,140.49,145798.0,20542651.0
2020-01-06 14:20:00,140.58,140.28,140.59,139.85,136884.0,19188253.0
2020-01-06 14:25:00,140.3,140.21,140.62,140.21,90021.0,12650891.0
2020-01-06 14:30:00,140.21,140.72,141.61,140.11,85015.0,11973681.0
2020-01-06 14:35:00,140.72,141.9,142.11,140.72,56176.0,7955196.0
2020-01-06 14:40:00,141.81,141.99,142.02,141.57,64388.0,9134184.0
2020-01-06 14:45:00,142.0,141.81,142.0,141.41,81110.0,11495064.0
2020-01-06 14:50:00,141.81,141.62,141.81,141.53,39854.0,5647025.0
2020-01-06 14:55:00,141.62,141.12,141.62,141.12,72998.0,10327859.0
2020-01-06 15:00:00,141.16,141.31,141.31,141.01,103339.0,14598706.0
2020-01-07 09:35:00,139.81,138.85,140.61,138.81,417867.0,58361397.0
2020-01-07 09:40:00,138.91,137.81,139.81,137.81,618337.0,85686331.0
2020-01-07 09:45:00,137.81,138.86,139.8,137.81,281682.0,39061070.0
2020-01-07 09:50:00,138.81,138.81,139.51,138.61,92525.0,12858095.0
2020-01-07 09:55:00,138.81,139.84,140.25,138.81,113753.0,15905860.0
2020-01-07 10:00:00,139.82,139.49,140.11,138.83,104241.0,14561181.0
2020-01-07 10:05:00,139.41,139.79,140.06,139.31,123768.0,17290092.0
2020-01-07 10:10:00,139.79,138.82,139.79,138.65,129175.0,17959222.0
2020-01-07 10:15:00,138.81,138.83,139.29,138.66,111850.0,15531215.0
2020-01-07 10:20:00,138.83,138.64,138.84,138.61,75603.0,10496979.0
2020-01-07 10:25:00,138.61,138.75,139.18,138.52,126370.0,17529123.0
2020-01-07 10:30:00,138.9,138.81,138.92,138.57,57077.0,7915597.0
2020-01-07 10:35:00,138.68,138.56,139.0,138.56,88921.0,12340532.0
2020-01-07 10:40:00,138.56,138.59,138.75,138.49,66290.0,9186934.0
2020-01-07 10:45:00,138.69,138.49,138.75,138.46,91524.0,12685673.0
2020-01-07 10:50:00,138.49,138.02,138.65,137.55,361990.0,49901294.0
2020-01-07 10:55:00,137.98,137.62,138.51,137.62,96130.0,13273444.0
2020-01-07 11:00:00,137.61,137.67,137.96,137.61,119962.0,16529228.0
2020-01-07 11:05:00,137.67,137.9,138.49,137.67,85816.0,11839085.0
2020-01-07 11:10:00,137.88,137.69,137.9,137.65,87819.0,12096893.0
2020-01-07 11:15:00,137.71,137.76,137.81,137.66,111550.0,15371231.0
2020-01-07 11:20:00,137.76,137.88,138.09,137.75,65989.0,9099562.0
2020-01-07 11:25:00,137.88,138.05,138.09,137.81,64988.0,8965662.0
2020-01-07 11:30:00,138.06,137.79,138.06,137.76,63286.0,8722648.0
2020-01-07 13:05:00,137.76,137.81,138.41,137.76,116057.0,16007359.0
2020-01-07 13:10:00,137.77,138.26,138.46,137.77,47364.0,6535981.0
2020-01-07 13:15:00,138.29,138.52,138.57,138.13,58279.0,8061789.0
2020-01-07 13:20:00,138.51,138.4,138.57,138.26,41156.0,5699545.0
2020-01-07 13:25:00,138.39,138.18,138.97,138.18,100836.0,13974816.0
2020-01-07 13:30:00,138.18,138.11,138.28,138.11,49367.0,6824681.0
2020-01-07 13:35:00,138.12,138.11,138.19,138.1,47364.0,6537902.0
2020-01-07 13:40:00,138.11,138.15,138.21,138.11,43258.0,5987919.0
2020-01-07 13:45:00,138.16,138.19,138.25,138.15,54774.0,7562948.0
2020-01-07 13:50:00,138.19,138.12,138.2,138.12,45862.0,6341981.0
2020-01-07 13:55:00,138.13,137.93,138.13,137.88,101838.0,14053104.0
2020-01-07 14:00:00,137.94,138.11,138.11,137.93,44661.0,6163079.0
2020-01-07 14:05:00,138.1,138.11,138.13,138.04,43559.0,6008956.0
2020-01-07 14:10:00,138.1,138.68,138.7,138.1,83714.0,11582465.0
2020-01-07 14:15:00,138.69,138.24,138.69,138.24,41756.0,5784358.0
2020-01-07 14:20:00,138.25,138.13,138.38,138.13,43759.0,6049742.0
2020-01-07 14:25:00,138.13,138.17,138.2,138.07,51870.0,7164378.0
2020-01-07 14:30:00,138.17,138.09,138.21,137.89,122866.0,16965703.0
2020-01-07 14:35:00,138.09,137.96,138.1,137.89,87118.0,12018223.0
2020-01-07 14:40:00,137.96,137.81,138.11,137.8,174836.0,24105671.0
2020-01-07 14:45:00,137.81,137.8,137.83,137.67,108746.0,14981176.0
2020-01-07 14:50:00,137.8,137.78,137.81,137.77,103941.0,14327194.0
2020-01-07 14:55:00,137.78,137.8,137.8,137.77,165123.0,22752873.0
