,total_value,balance,market_value
2021-10-08 09:35:00,99990.550704,5497.590704000002,94492.95999999999
2021-10-08 09:40:00,100111.19070400001,5497.590704000002,94613.6
2021-10-08 09:45:00,100514.23070399999,5497.590704000002,95016.63999999998
2021-10-08 09:50:00,100555.670704,5497.590704000002,95058.08
2021-10-08 09:55:00,100517.91070400001,5497.590704000002,95020.32
2021-10-08 10:00:00,100470.070704,5497.590704000002,94972.48
2021-10-08 10:05:00,100543.990704,5497.590704000002,95046.4
2021-10-08 10:10:00,100702.870704,5497.590704000002,95205.28
2021-10-08 10:15:00,100719.510704,5497.590704000002,95221.92
2021-10-08 10:20:00,100633.27070400001,5497.590704000002,95135.68000000001
2021-10-08 10:25:00,100519.190704,5497.590704000002,95021.59999999999
2021-10-08 10:30:00,100532.150704,5497.590704000002,95034.56
2021-10-08 10:35:00,100631.670704,5497.590704000002,95134.08
2021-10-08 10:40:00,100659.830704,5497.590704000002,95162.24
2021-10-08 10:45:00,100586.390704,5497.590704000002,95088.8
2021-10-08 10:50:00,100724.790704,5497.590704000002,95227.2
2021-10-08 10:55:00,100812.310704,5497.590704000002,95314.72
2021-10-08 11:00:00,100833.27070400001,5497.590704000002,95335.68000000001
2021-10-08 11:05:00,100866.710704,5497.590704000002,95369.12
2021-10-08 11:10:00,100765.430704,5497.590704000002,95267.84
2021-10-08 11:15:00,100731.99070400001,5497.590704000002,95234.40000000001
2021-10-08 11:20:00,100687.510704,5497.590704000002,95189.92
2021-10-08 11:25:00,100534.070704,5497.590704000002,95036.48
2021-10-08 11:30:00,100524.95070399999,5497.590704000002,95027.35999999999
2021-10-08 13:05:00,100453.11070399999,5497.590704000002,94955.51999999999
2021-10-08 13:10:00,100325.430704,5497.590704000002,94827.84
2021-10-08 13:15:00,100420.15070399999,5497.590704000002,94922.55999999998
2021-10-08 13:20:00,100306.390704,5497.590704000002,94808.8
2021-10-08 13:25:00,100473.430704,5497.590704000002,94975.84
2021-10-08 13:30:00,100458.07070399998,5497.590704000002,94960.47999999998
2021-10-08 13:35:00,100532.15070400001,5497.590704000002,95034.56000000001
2021-10-08 13:40:00,100610.710704,5497.590704000002,95113.12
2021-10-08 13:45:00,100643.510704,5497.590704000002,95145.92
2021-10-08 13:50:00,100729.590704,5497.590704000002,95232.0
2021-10-08 13:55:00,100738.550704,5497.590704000002,95240.95999999999
2021-10-08 14:00:00,100725.59070399999,5497.590704000002,95227.99999999999
2021-10-08 14:05:00,100745.430704,5497.590704000002,95247.84
2021-10-08 14:10:00,100745.43070400001,5497.590704000002,95247.84000000001
2021-10-08 14:15:00,100697.270704,5497.590704000002,95199.68
2021-10-08 14:20:00,100630.550704,5497.590704000002,95132.95999999999
