,stock_name,amount,open_time,close_time,market_time,open_price,close_price,market_price,direction,status,unrealized_pnl,realized_pnl,unrealized_return,realized_return,market_value
0,A50,16.0,2021-10-08 09:35:00,2021-10-12 11:10:00,2021-10-12 11:10:00,3228.14,3276.83,3276.83,long,0,0.0,716.2027680000028,0.0,0.013865011176802168,0.0
1,601066.XSHG,528.0,2021-10-08 09:35:00,2021-10-12 11:10:00,2021-10-12 11:10:00,31.2,29.23,29.23,short,0,0.0,1021.5358559999993,0.0,0.062004280341196615,0.0
2,600585.XSHG,384.0,2021-10-08 09:35:00,2021-10-12 11:10:00,2021-10-12 11:10:00,40.83,42.38,42.38,long,0,0.0,575.7308160000002,0.0,0.03671685243917441,0.0
3,600745.XSHG,112.0,2021-10-08 09:35:00,2021-10-12 11:10:00,2021-10-12 11:10:00,95.45,97.2,97.2,long,0,0.0,182.95591999999942,0.0,0.0171123275309975,0.0
0,A50,17.0,2021-11-10 10:45:00,2021-11-11 13:20:00,2021-11-11 13:20:00,3136.66,3208.8,3208.8,long,0,0.0,1161.0431180000037,0.0,0.02177151014693925,0.0
1,601066.XSHG,561.0,2021-11-10 10:45:00,2021-11-11 13:20:00,2021-11-11 13:20:00,28.6,29.21,29.21,short,0,0.0,-361.8399509999997,0.0,-0.022549877879344916,0.0
2,600585.XSHG,408.0,2021-11-10 10:45:00,2021-11-11 13:20:00,2021-11-11 13:20:00,36.35,38.27,38.27,long,0,0.0,764.7013440000003,0.0,0.05155654998461641,0.0
3,600745.XSHG,119.0,2021-11-10 10:45:00,2021-11-11 13:20:00,2021-11-11 13:20:00,114.71,119.87,119.87,long,0,0.0,596.9839680000017,0.0,0.04372914639492388,0.0
0,A50,17.0,2021-12-03 10:10:00,2021-12-13 09:50:00,2021-12-13 09:50:00,3207.42,3415.7,3415.7,short,0,0.0,-3610.0862039999956,0.0,-0.06620173794581549,0.0
1,601066.XSHG,561.0,2021-12-03 10:10:00,2021-12-13 09:50:00,2021-12-13 09:50:00,28.6,31.38,31.38,long,0,0.0,1538.6109420000005,0.0,0.09588628549732443,0.0
2,600585.XSHG,408.0,2021-12-03 10:10:00,2021-12-13 09:50:00,2021-12-13 09:50:00,38.15,41.55,41.55,short,0,0.0,-1407.4041599999994,0.0,-0.09041088027501308,0.0
3,600745.XSHG,119.0,2021-12-03 10:10:00,2021-12-13 09:50:00,2021-12-13 09:50:00,135.64,138.5,138.5,short,0,0.0,-360.0837660000017,0.0,-0.022306188726453322,0.0
0,A50,15.0,2021-12-13 09:55:00,2021-12-13 10:05:00,2021-12-13 10:05:00,3424.16,3423.97,3423.97,short,0,0.0,-58.78174499999918,0.0,-0.0011443364681801836,0.0
1,601066.XSHG,495.0,2021-12-13 09:55:00,2021-12-13 10:05:00,2021-12-13 10:05:00,31.65,31.52,31.52,long,0,0.0,-83.07931499999935,0.0,-0.005302376555393393,0.0
2,600585.XSHG,360.0,2021-12-13 09:55:00,2021-12-13 10:05:00,2021-12-13 10:05:00,41.48,41.84,41.84,short,0,0.0,-147.66192000000234,0.0,-0.009887439414207241,0.0
3,600745.XSHG,105.0,2021-12-13 09:55:00,2021-12-13 10:05:00,2021-12-13 10:05:00,137.8,137.74,137.74,short,0,0.0,-11.055869999999762,0.0,-0.0007640309989320207,0.0
0,A50,15.0,2021-12-13 10:25:00,2021-12-13 10:30:00,2021-12-13 10:30:00,3402.58,3401.0,3401.0,short,0,0.0,-37.520370000001094,0.0,-0.0007350621849335362,0.0
1,601066.XSHG,495.0,2021-12-13 10:25:00,2021-12-13 10:30:00,2021-12-13 10:30:00,31.03,30.91,30.91,long,0,0.0,-77.76648000000017,0.0,-0.005062465071572131,0.0
2,600585.XSHG,360.0,2021-12-13 10:25:00,2021-12-13 10:30:00,2021-12-13 10:30:00,41.45,41.41,41.41,short,0,0.0,-3.4905599999977506,0.0,-0.00023389699630745614,0.0
3,600745.XSHG,105.0,2021-12-13 10:25:00,2021-12-13 10:30:00,2021-12-13 10:30:00,138.8,138.92,138.92,short,0,0.0,-30.102659999997496,0.0,-0.0020652977929871,0.0
0,A50,15.0,2021-12-13 10:35:00,2021-12-13 10:45:00,2021-12-13 10:45:00,3390.81,3397.53,3397.53,short,0,0.0,-161.94546000000383,0.0,-0.003183688992173876,0.0
1,601066.XSHG,495.0,2021-12-13 10:35:00,2021-12-13 10:45:00,2021-12-13 10:45:00,30.92,30.86,30.86,long,0,0.0,-48.03381000000064,0.0,-0.0031380432461282108,0.0
2,600585.XSHG,360.0,2021-12-13 10:35:00,2021-12-13 10:45:00,2021-12-13 10:45:00,41.27,41.46,41.46,short,0,0.0,-86.30387999999918,0.0,-0.005808311826922414,0.0
3,600745.XSHG,105.0,2021-12-13 10:35:00,2021-12-13 10:45:00,2021-12-13 10:45:00,138.51,139.73,139.73,short,0,0.0,-145.69316999999987,0.0,-0.010016715460790929,0.0
0,A50,15.0,2021-12-13 11:05:00,2021-12-13 11:10:00,2021-12-13 11:10:00,3392.05,3396.13,3396.13,short,0,0.0,-122.32421999999889,0.0,-0.0024038951627308714,0.0
1,601066.XSHG,495.0,2021-12-13 11:05:00,2021-12-13 11:10:00,2021-12-13 11:10:00,30.61,30.71,30.71,long,0,0.0,31.263210000000683,0.0,0.002063106332293964,0.0
2,600585.XSHG,360.0,2021-12-13 11:05:00,2021-12-13 11:10:00,2021-12-13 11:10:00,41.31,41.32,41.32,short,0,0.0,-21.449879999999286,0.0,-0.0014421941974284299,0.0
3,600745.XSHG,105.0,2021-12-13 11:05:00,2021-12-13 11:10:00,2021-12-13 11:10:00,138.99,139.5,139.5,short,0,0.0,-71.12164499999905,0.0,-0.004872877702516753,0.0
0,A50,15.0,2021-12-13 13:10:00,2022-01-14 09:45:00,2022-01-14 09:45:00,3391.19,3150.33,3150.33,short,0,0.0,3555.832770000002,0.0,0.06989635343891622,0.0
1,601066.XSHG,495.0,2021-12-13 13:10:00,2022-01-14 09:45:00,2022-01-14 09:45:00,30.71,28.02,28.02,long,0,0.0,-1348.3270350000003,0.0,-0.08868839589502465,0.0
2,600585.XSHG,360.0,2021-12-13 13:10:00,2022-01-14 09:45:00,2022-01-14 09:45:00,41.01,39.56,39.56,short,0,0.0,504.85787999999843,0.0,0.03419270362649167,0.0
3,600745.XSHG,105.0,2021-12-13 13:10:00,2022-01-14 09:45:00,2022-01-14 09:45:00,139.18,115.7,115.7,short,0,0.0,2450.5752600000005,0.0,0.1676712052893001,0.0
0,A50,17.0,2022-01-19 10:30:00,2022-01-27 10:30:00,2022-01-27 10:30:00,3200.86,3134.78,3134.78,short,0,0.0,1059.2981519999987,0.0,0.019465214179143785,0.0
1,601066.XSHG,561.0,2022-01-19 10:30:00,2022-01-27 10:30:00,2022-01-27 10:30:00,28.13,26.86,26.86,long,0,0.0,-730.6233989999995,0.0,-0.04629323772208628,0.0
2,600585.XSHG,408.0,2022-01-19 10:30:00,2022-01-27 10:30:00,2022-01-27 10:30:00,42.81,39.85,39.85,short,0,0.0,1188.0486720000004,0.0,0.06801197946077854,0.0
3,600745.XSHG,119.0,2022-01-19 10:30:00,2022-01-27 10:30:00,2022-01-27 10:30:00,119.18,112.5,112.5,short,0,0.0,778.7755080000009,0.0,0.05490583682024487,0.0
