,T,P,Lags Used,NumberObservationsUsed,stockName
0,-2.5121500775225445,0.11254599843598634,2,5805,600000.XSHG_600031.XSHG
1,-3.290437860936244,0.015311350642343213,4,5803,600000.XSHG_600036.XSHG
2,-2.867799017141184,0.0492227175924009,7,5800,600000.XSHG_600050.XSHG
3,-3.439329242699266,0.009689011942571614,4,5803,600000.XSHG_600309.XSHG
4,-1.210804010292117,0.6689309171309404,5,5802,600000.XSHG_600837.XSHG
5,-2.782974812372045,0.06074714933067054,2,5805,600000.XSHG_601211.XSHG
6,-4.910167336164276,3.331950508971609e-05,2,5805,600000.XSHG_601336.XSHG
7,-3.655418633626525,0.0047857688286396406,4,5803,600000.XSHG_601601.XSHG
8,-3.727118699436369,0.0037474778066380644,4,5803,600000.XSHG_601628.XSHG
9,-2.6978678539371557,0.0744079507021875,4,5803,600000.XSHG_601888.XSHG
10,-2.951637211066878,0.03966440530413691,8,5799,600030.XSHG_600588.XSHG
11,-2.744804713750355,0.06660077607031616,1,5806,600030.XSHG_601211.XSHG
12,-2.4707927941696246,0.12274342864293653,6,5801,600030.XSHG_601688.XSHG
13,-3.801924214695618,0.0028876890028077806,3,5804,600030.XSHG_601728.XSHG
14,-2.6869811057134427,0.07631832746521386,3,5804,600031.XSHG_600050.XSHG
15,-2.142844450761215,0.22763908845462688,1,5806,600031.XSHG_600276.XSHG
16,-2.6731048934563892,0.0788090422921699,7,5800,600031.XSHG_600309.XSHG
17,-2.340636099818875,0.15919664578046028,2,5805,600031.XSHG_600837.XSHG
18,-3.1024771323224916,0.026370411895797773,3,5804,600031.XSHG_601066.XSHG
19,-2.79947320497376,0.058349056398426045,1,5806,600031.XSHG_601138.XSHG
20,-2.5841853476015735,0.09631008448428652,2,5805,600031.XSHG_601336.XSHG
21,-2.633973565823848,0.08617691943809869,5,5802,600031.XSHG_601601.XSHG
22,-2.937475095163658,0.04116049230376727,2,5805,600031.XSHG_601628.XSHG
23,-3.6276499504576045,0.005253897764316764,1,5806,600031.XSHG_601995.XSHG
24,-2.985156241195928,0.0363040660446487,5,5802,600036.XSHG_601336.XSHG
25,-2.288837851769951,0.17559326237042389,4,5803,600036.XSHG_601601.XSHG
26,-2.8456462350637763,0.052043535552857546,5,5802,600048.XSHG_601668.XSHG
27,-3.6224425121905135,0.005346188896879344,3,5804,600050.XSHG_600309.XSHG
28,-1.9296165142820396,0.3182593653798762,7,5800,600050.XSHG_600837.XSHG
29,-2.458704262690177,0.12584797107329132,3,5804,600050.XSHG_601138.XSHG
30,-3.200634385437716,0.019947987852183054,5,5802,600050.XSHG_601336.XSHG
31,-4.628143968037076,0.00011458952894703381,3,5804,600050.XSHG_601601.XSHG
32,-3.321459354496244,0.013946070281305446,4,5803,600050.XSHG_601628.XSHG
33,-3.53252355866331,0.00719006745124697,0,5807,600104.XSHG_600276.XSHG
34,-2.9618537508480243,0.03861362413175222,4,5803,600104.XSHG_600436.XSHG
35,-3.5306876383507637,0.007233073096683023,2,5805,600104.XSHG_600570.XSHG
36,-3.2197493801783947,0.018869593029763963,1,5806,600104.XSHG_600837.XSHG
37,-2.8344343826299307,0.053520914015249915,3,5804,600104.XSHG_600893.XSHG
38,-4.874001405339827,3.917420950003024e-05,2,5805,600104.XSHG_601066.XSHG
39,-3.0551045808563533,0.03005903189007442,1,5806,600104.XSHG_601138.XSHG
40,-2.3313287412281487,0.16206278258876966,3,5804,600104.XSHG_601633.XSHG
41,-3.382042455733693,0.011586489919351493,3,5804,600104.XSHG_603288.XSHG
42,-3.01878516457341,0.03317695466689817,0,5807,600276.XSHG_600436.XSHG
43,-2.0864512536265796,0.24999740414073301,5,5802,600276.XSHG_600570.XSHG
44,-2.27281469006913,0.18088570897630923,1,5806,600276.XSHG_600837.XSHG
45,-2.9120040859241336,0.04396978723157205,1,5806,600276.XSHG_600893.XSHG
46,-3.6149556528234803,0.005481461240986946,4,5803,600276.XSHG_601066.XSHG
47,-2.3698867814000133,0.15041661298986547,6,5801,600276.XSHG_601633.XSHG
48,-3.6284658732870088,0.0052395691972867845,23,5784,600276.XSHG_601995.XSHG
49,-2.8627959539207573,0.049848526514169204,7,5800,600276.XSHG_603288.XSHG
50,-1.9809906810579547,0.2949697132007596,4,5803,600309.XSHG_600837.XSHG
51,-2.3253945994282654,0.16390845191396664,13,5794,600309.XSHG_601066.XSHG
52,-2.715670441190946,0.07136563101360105,5,5802,600309.XSHG_601138.XSHG
53,-3.271087884373471,0.016221359579532853,6,5801,600309.XSHG_601336.XSHG
54,-3.363688041611358,0.012260812474705167,5,5802,600309.XSHG_601601.XSHG
55,-4.561958590085215,0.00015171104252411158,4,5803,600309.XSHG_601628.XSHG
56,-2.92360190671284,0.042671452821082964,9,5798,600309.XSHG_601888.XSHG
57,-2.056423179777722,0.2623940054924163,5,5802,600436.XSHG_600570.XSHG
58,-3.437454192240394,0.009746429073685866,1,5806,600436.XSHG_600893.XSHG
59,-4.353959183298143,0.00035776018462927486,1,5806,600436.XSHG_601066.XSHG
60,-1.74597067656617,0.40759605627417433,3,5804,600436.XSHG_601633.XSHG
61,-4.96852343238422,2.5606756733442034e-05,1,5806,600436.XSHG_601995.XSHG
62,-2.4671035248376194,0.12368490522243392,7,5800,600570.XSHG_600690.XSHG
63,-3.722163980478237,0.0038119813449702055,6,5801,600570.XSHG_600837.XSHG
64,-4.210401363050863,0.000632690760989286,9,5798,600570.XSHG_601066.XSHG
65,-3.598786774147292,0.0057842644301524014,4,5803,600570.XSHG_601138.XSHG
66,-3.1939990559320477,0.020334675736188475,1,5806,600570.XSHG_603501.XSHG
67,-2.884005296676565,0.04723982938838923,7,5800,600588.XSHG_600690.XSHG
68,-3.588485706536008,0.005985010397619144,3,5804,600588.XSHG_601211.XSHG
69,-3.717556371010896,0.0038728766552964047,7,5800,600588.XSHG_601688.XSHG
70,-3.3862509564281895,0.011436601039587659,0,5807,600690.XSHG_601688.XSHG
71,-4.627769611930762,0.00011477271874345351,4,5803,600690.XSHG_601728.XSHG
72,-2.755197403613712,0.06496395800439973,1,5806,600690.XSHG_603501.XSHG
