,parameters,aic
0,"(0, 0)",9520.367342641282
1,"(0, 1)",2941.052143784329
2,"(0, 2)",-1254.8526910562396
3,"(0, 3)",-3913.222102858086
4,"(0, 4)",-5639.867274636796
5,"(0, 5)",-6850.825404757004
6,"(1, 0)",-11638.10034477546
7,"(1, 1)",-11892.554249889916
8,"(1, 2)",-11890.554253165155
9,"(1, 3)",-11888.61419433996
10,"(1, 4)",-11886.620497403215
11,"(1, 5)",-11885.034841722525
12,"(2, 0)",-11881.277524422752
13,"(2, 1)",-11890.554253266695
14,"(2, 2)",-11888.818541242195
15,"(2, 3)",-11886.896943740187
16,"(3, 0)",-11889.734374843425
17,"(3, 1)",-11888.61037294209
18,"(3, 2)",-11890.298386112347
19,"(4, 0)",-11888.460633760926
20,"(4, 1)",-11886.610675353208
21,"(4, 2)",-11888.34576919816
22,"(4, 3)",-11895.331897088836
23,"(4, 4)",-11889.604293595148
24,"(5, 0)",-11886.787601235446
25,"(5, 1)",-11885.772033569661
26,"(5, 2)",-11883.835875880002
27,"(5, 3)",-11887.191029961003
28,"(5, 4)",-11889.48849109529
