,parameters,aic
0,"(1, 0)",-12344.723106040217
1,"(1, 1)",-12427.917746150948
2,"(1, 2)",-12437.57687995282
3,"(1, 3)",-12436.790899409776
4,"(1, 4)",-12443.850894000469
5,"(1, 5)",-12443.11897713511
6,"(2, 0)",-11453.92992475301
7,"(2, 1)",-12425.917745530161
8,"(2, 2)",-12435.576879945593
9,"(2, 3)",-12369.962986363793
10,"(2, 4)",-12365.756440725962
11,"(2, 5)",-12447.996420490785
12,"(3, 0)",-12412.98561954518
13,"(3, 1)",-12424.23251210275
14,"(3, 2)",-12433.576879425587
15,"(3, 3)",-12392.1490345862
16,"(3, 4)",-12420.240606788084
17,"(3, 5)",-12447.451185616072
18,"(4, 0)",-12413.235973284558
19,"(4, 1)",-12423.079371696416
20,"(4, 2)",-12376.35152221216
21,"(4, 3)",-12390.149075267205
22,"(4, 4)",-12418.24060429848
23,"(4, 5)",-12301.313039231061
24,"(5, 0)",-12426.436836812283
25,"(5, 1)",-12435.306892623743
26,"(5, 2)",-12374.351547639813
27,"(5, 3)",-12388.149064153982
28,"(5, 4)",-12287.046646129811
29,"(5, 5)",-12284.22179267709
