,parameters,bic
0,"(1, 0)",-22648.13909363175
1,"(1, 1)",-23960.64788049613
2,"(1, 2)",-19569.065971899487
3,"(1, 3)",-13696.1100381022
4,"(1, 4)",13069.031937277749
5,"(1, 5)",-22635.897204369314
6,"(2, 0)",-22586.902862430405
7,"(2, 1)",-23953.8582228219
8,"(2, 2)",-14785.251306426362
9,"(2, 3)",-19631.254007861207
10,"(2, 4)",-20442.57304737741
11,"(2, 5)",-14549.695217017623
12,"(3, 0)",-22569.13820786169
13,"(3, 1)",-23954.835622620623
14,"(3, 2)",-15338.10284907094
15,"(3, 3)",31882.42824596791
16,"(3, 4)",24813.66149946113
17,"(3, 5)",26463.956162825125
18,"(4, 0)",-22545.400019782803
19,"(4, 1)",-20070.220705280553
20,"(4, 2)",-13501.91235912902
21,"(4, 3)",-14652.406724906155
22,"(4, 4)",-16024.23949064566
23,"(4, 5)",-16227.724396452024
24,"(5, 0)",-22537.032891599327
25,"(5, 1)",-24301.55146836161
26,"(5, 2)",-17004.704299967736
27,"(5, 3)",-14429.543758183892
28,"(5, 4)",-14694.318479571957
29,"(5, 5)",-18038.270168047595
