,alpha,beta
600000.XSHG_600031.XSHG,-34.203923331890934,6.567713878987281
600000.XSHG_600050.XSHG,-0.138469646033613,0.47318246047661905
600000.XSHG_600309.XSHG,-94.50230494137713,22.384002861634585
600000.XSHG_601336.XSHG,-15.44376567438519,6.341607344083229
600000.XSHG_601601.XSHG,-17.716683973410852,5.24524244106955
600000.XSHG_601628.XSHG,-13.416703152083244,4.995180926204608
600031.XSHG_600309.XSHG,30.450267146755664,3.024482765618149
600031.XSHG_600837.XSHG,6.25255782610116,0.25426081238538556
600031.XSHG_601066.XSHG,10.382906205672569,0.7871728754955045
600031.XSHG_601995.XSHG,14.547527214374384,1.4861671955712286
600036.XSHG_601601.XSHG,-2.676810300723119,0.5931474532309076
600050.XSHG_600309.XSHG,-78.70680255276784,44.934144709018085
600050.XSHG_600837.XSHG,-2.737918248445581,3.7297769066116757
600050.XSHG_601336.XSHG,-8.312002120872876,12.048916343419904
600050.XSHG_601601.XSHG,-14.01755749834794,10.52998889660011
600050.XSHG_601628.XSHG,-8.56738256833296,9.687767118201492
600104.XSHG_600276.XSHG,-27.05445075259047,3.712214835969574
600104.XSHG_600570.XSHG,-16.103820428152687,3.697971123202583
600104.XSHG_600837.XSHG,3.1083287311599435,0.4410543868274024
600104.XSHG_601066.XSHG,1.4881028243543994,1.3228965607597463
600276.XSHG_600436.XSHG,11.770372222296828,8.300538601717822
600276.XSHG_601066.XSHG,12.257653787039345,0.33190976809126305
600276.XSHG_601633.XSHG,-41.182572768571305,1.9253569694025745
600276.XSHG_603288.XSHG,29.78165186332774,1.6438577955824005
600309.XSHG_601336.XSHG,15.136935302264874,0.2438551906287718
600309.XSHG_601601.XSHG,6.913885701400972,0.20856920786671396
600309.XSHG_601628.XSHG,9.376930440515636,0.20549341090497752
600436.XSHG_600893.XSHG,6.79281853019657,0.12140184525832598
600436.XSHG_601066.XSHG,13.490792363351169,0.03567070943895834
600570.XSHG_600837.XSHG,5.54452911400557,0.11019539554474
600570.XSHG_601066.XSHG,9.185207069359407,0.3236553007753209
600588.XSHG_601688.XSHG,9.232512798003178,0.22082322336659965
600837.XSHG_601066.XSHG,-5.827880758029551,2.829372177047798
600837.XSHG_601138.XSHG,2.0703199789535063,0.7859405330023534
600837.XSHG_601601.XSHG,-2.4039351603357204,2.4942196600200557
601066.XSHG_601138.XSHG,4.213011709640881,0.2587811414901142
601066.XSHG_601995.XSHG,-2.4696863931976907,1.7942103641127618
601336.XSHG_601601.XSHG,-3.0096591689752046,0.7771200802143601
601336.XSHG_601628.XSHG,-0.7997352096343207,0.7759903189682928
601601.XSHG_601628.XSHG,4.839741091851124,0.9011289314363653
601633.XSHG_603288.XSHG,67.50420209207569,0.8000544807321401
