,total_value,balance,market_value
2021-10-08 09:35:00,100000,100000,0
2021-10-08 09:40:00,99980.90600000002,4510.90600000001,95470.0
2021-10-08 09:45:00,100120.90600000002,4510.90600000001,95610.0
2021-10-08 09:50:00,100590.90600000002,4510.90600000001,96080.0
2021-10-08 09:55:00,100640.90600000002,4510.90600000001,96130.0
2021-10-08 10:00:00,100440.90600000002,4510.90600000001,95930.0
2021-10-08 10:05:00,100660.90600000002,4510.90600000001,96150.0
2021-10-08 10:10:00,100680.90600000002,4510.90600000001,96170.0
2021-10-08 10:15:00,100774.96200000001,100774.96200000001,0
2021-10-08 10:20:00,100774.96200000001,100774.96200000001,0
2021-10-08 10:25:00,100774.96200000001,100774.96200000001,0
2021-10-08 10:30:00,100755.67400000001,4315.674000000014,96440.0
2021-10-08 10:35:00,100855.67400000001,4315.674000000014,96540.0
2021-10-08 10:40:00,101035.67400000001,4315.674000000014,96720.0
2021-10-08 10:45:00,100965.67400000001,4315.674000000014,96650.0
2021-10-08 10:50:00,101095.67400000001,4315.674000000014,96780.0
2021-10-08 10:55:00,101119.658,101119.658,0
2021-10-08 11:00:00,101119.658,101119.658,0
2021-10-08 11:05:00,101119.658,101119.658,0
2021-10-08 11:10:00,101119.658,101119.658,0
2021-10-08 11:15:00,101119.658,101119.658,0
2021-10-08 11:20:00,101119.658,101119.658,0
2021-10-08 11:25:00,101119.658,101119.658,0
2021-10-08 11:30:00,101119.658,101119.658,0
2021-10-08 13:05:00,101119.658,101119.658,0
2021-10-08 13:10:00,101119.658,101119.658,0
2021-10-08 13:15:00,101119.658,101119.658,0
2021-10-08 13:20:00,101119.658,101119.658,0
2021-10-08 13:25:00,101119.658,101119.658,0
2021-10-08 13:30:00,101119.658,101119.658,0
2021-10-08 13:35:00,101119.658,101119.658,0
2021-10-08 13:40:00,101119.658,101119.658,0
2021-10-08 13:45:00,101119.658,101119.658,0
2021-10-08 13:50:00,101119.658,101119.658,0
2021-10-08 13:55:00,101119.658,101119.658,0
2021-10-08 14:00:00,101119.658,101119.658,0
2021-10-08 14:05:00,101119.658,101119.658,0
2021-10-08 14:10:00,101119.658,101119.658,0
2021-10-08 14:15:00,101119.658,101119.658,0
2021-10-08 14:20:00,101119.658,101119.658,0
2021-10-08 14:25:00,101119.658,101119.658,0
2021-10-08 14:30:00,101119.658,101119.658,0
2021-10-08 14:35:00,101119.658,101119.658,0
2021-10-08 14:40:00,101119.658,101119.658,0
2021-10-08 14:45:00,101119.658,101119.658,0
2021-10-08 14:50:00,101119.658,101119.658,0
2021-10-08 14:55:00,101119.658,101119.658,0
2021-10-08 15:00:00,101119.658,101119.658,0
2021-10-11 09:35:00,101119.658,101119.658,0
2021-10-11 09:40:00,101101.9388,12505.93880000001,88596.0
2021-10-11 09:45:00,101128.9388,12505.93880000001,88623.0
2021-10-11 09:50:00,101092.9388,12505.93880000001,88587.0
2021-10-11 09:55:00,100876.9388,12505.93880000001,88371.0
2021-10-11 10:00:00,101038.9388,12505.93880000001,88533.0
2021-10-11 10:05:00,101137.9388,12505.93880000001,88632.0
2021-10-11 10:10:00,101200.9388,12505.93880000001,88695.0
2021-10-11 10:15:00,101263.9388,12505.93880000001,88758.0
2021-10-11 10:20:00,101101.9388,12505.93880000001,88596.0
2021-10-11 10:25:00,101371.9388,12505.93880000001,88866.0
2021-10-11 10:30:00,101344.9388,12505.93880000001,88839.0
2021-10-11 10:35:00,101371.9388,12505.93880000001,88866.0
2021-10-11 10:40:00,101344.9388,12505.93880000001,88839.0
2021-10-11 10:45:00,101335.9388,12505.93880000001,88830.0
2021-10-11 10:50:00,101245.9388,12505.93880000001,88740.0
2021-10-11 10:55:00,101254.9388,12505.93880000001,88749.0
2021-10-11 11:00:00,101245.9388,12505.93880000001,88740.0
2021-10-11 11:05:00,101209.9388,12505.93880000001,88704.0
2021-10-11 11:10:00,101191.9388,12505.93880000001,88686.0
2021-10-11 11:15:00,101155.9388,12505.93880000001,88650.0
2021-10-11 11:20:00,101299.9388,12505.93880000001,88794.0
2021-10-11 11:25:00,101281.9388,12505.93880000001,88776.0
2021-10-11 11:30:00,101326.9388,12505.93880000001,88821.0
2021-10-11 13:05:00,101155.9388,12505.93880000001,88650.0
2021-10-11 13:10:00,101110.9388,12505.93880000001,88605.0
2021-10-11 13:15:00,101038.9388,12505.93880000001,88533.0
2021-10-11 13:20:00,101182.9388,12505.93880000001,88677.0
2021-10-11 13:25:00,101290.9388,12505.93880000001,88785.0
2021-10-11 13:30:00,101281.9388,12505.93880000001,88776.0
2021-10-11 13:35:00,101164.9388,12505.93880000001,88659.0
2021-10-11 13:40:00,101164.9388,12505.93880000001,88659.0
2021-10-11 13:45:00,101218.9388,12505.93880000001,88713.0
2021-10-11 13:50:00,101155.9388,12505.93880000001,88650.0
2021-10-11 13:55:00,101173.9388,12505.93880000001,88668.0
2021-10-11 14:00:00,101218.9388,12505.93880000001,88713.0
2021-10-11 14:05:00,101200.9388,12505.93880000001,88695.0
2021-10-11 14:10:00,101209.9388,12505.93880000001,88704.0
2021-10-11 14:15:00,101272.9388,12505.93880000001,88767.0
2021-10-11 14:20:00,101254.9388,12505.93880000001,88749.0
2021-10-11 14:25:00,101254.9388,12505.93880000001,88749.0
2021-10-11 14:30:00,101272.9388,12505.93880000001,88767.0
2021-10-11 14:35:00,101290.9388,12505.93880000001,88785.0
2021-10-11 14:40:00,101344.9388,12505.93880000001,88839.0
2021-10-11 14:45:00,101299.9388,12505.93880000001,88794.0
2021-10-11 14:50:00,101353.9388,12505.93880000001,88848.0
2021-10-11 14:55:00,101317.9388,12505.93880000001,88812.0
2021-10-11 15:00:00,101272.9388,12505.93880000001,88767.0
2021-10-12 09:35:00,101452.9388,12505.93880000001,88947.0
2021-10-12 09:40:00,101299.9388,12505.93880000001,88794.0
2021-10-12 09:45:00,101119.9388,12505.93880000001,88614.0
2021-10-12 09:50:00,101056.9388,12505.93880000001,88551.0
2021-10-12 09:55:00,100966.9388,12505.93880000001,88461.0
2021-10-12 10:00:00,100849.9388,12505.93880000001,88344.0
2021-10-12 10:05:00,100795.9388,12505.93880000001,88290.0
2021-10-12 10:10:00,100903.9388,12505.93880000001,88398.0
2021-10-12 10:15:00,100849.9388,12505.93880000001,88344.0
2021-10-12 10:20:00,100822.9388,12505.93880000001,88317.0
2021-10-12 10:25:00,100993.9388,12505.93880000001,88488.0
2021-10-12 10:30:00,100732.9388,12505.93880000001,88227.0
2021-10-12 10:35:00,100912.9388,12505.93880000001,88406.99999999999
2021-10-12 10:40:00,100876.9388,12505.93880000001,88371.0
2021-10-12 10:45:00,100948.9388,12505.93880000001,88443.0
2021-10-12 10:50:00,100894.9388,12505.93880000001,88389.0
2021-10-12 10:55:00,101083.9388,12505.93880000001,88578.0
2021-10-12 11:00:00,101038.9388,12505.93880000001,88533.0
2021-10-12 11:05:00,101218.9388,12505.93880000001,88713.0
2021-10-12 11:10:00,101092.9388,12505.93880000001,88587.0
2021-10-12 11:15:00,101128.9388,12505.93880000001,88623.0
2021-10-12 11:20:00,101101.9388,12505.93880000001,88596.0
2021-10-12 11:25:00,101146.9388,12505.93880000001,88641.0
2021-10-12 11:30:00,101047.9388,12505.93880000001,88542.0
2021-10-12 13:05:00,101164.9388,12505.93880000001,88659.0
2021-10-12 13:10:00,101155.9388,12505.93880000001,88650.0
2021-10-12 13:15:00,101335.9388,12505.93880000001,88830.0
2021-10-12 13:20:00,101398.9388,12505.93880000001,88893.0
2021-10-12 13:25:00,101272.9388,12505.93880000001,88767.0
2021-10-12 13:30:00,101389.9388,12505.93880000001,88884.0
2021-10-12 13:35:00,101344.9388,12505.93880000001,88838.99999999999
2021-10-12 13:40:00,101353.9388,12505.93880000001,88848.0
2021-10-12 13:45:00,101443.9388,12505.93880000001,88938.0
2021-10-12 13:50:00,101218.9388,12505.93880000001,88713.0
2021-10-12 13:55:00,101326.9388,12505.93880000001,88821.0
2021-10-12 14:00:00,101452.9388,12505.93880000001,88947.0
2021-10-12 14:05:00,101434.9388,12505.93880000001,88929.0
2021-10-12 14:10:00,101452.9388,12505.93880000001,88947.0
2021-10-12 14:15:00,101506.9388,12505.93880000001,89001.0
2021-10-12 14:20:00,101474.1032,101474.1032,0
2021-10-12 14:25:00,101474.1032,101474.1032,0
2021-10-12 14:30:00,101474.1032,101474.1032,0
2021-10-12 14:35:00,101474.1032,101474.1032,0
2021-10-12 14:40:00,101474.1032,101474.1032,0
2021-10-12 14:45:00,101474.1032,101474.1032,0
2021-10-12 14:50:00,101474.1032,101474.1032,0
2021-10-12 14:55:00,101474.1032,101474.1032,0
2021-10-12 15:00:00,101474.1032,101474.1032,0
2021-10-13 09:35:00,101474.1032,101474.1032,0
2021-10-13 09:40:00,101474.1032,101474.1032,0
2021-10-13 09:45:00,101474.1032,101474.1032,0
2021-10-13 09:50:00,101474.1032,101474.1032,0
2021-10-13 09:55:00,101474.1032,101474.1032,0
2021-10-13 10:00:00,101474.1032,101474.1032,0
2021-10-13 10:05:00,101474.1032,101474.1032,0
2021-10-13 10:10:00,101474.1032,101474.1032,0
2021-10-13 10:15:00,101474.1032,101474.1032,0
2021-10-13 10:20:00,101474.1032,101474.1032,0
2021-10-13 10:25:00,101474.1032,101474.1032,0
2021-10-13 10:30:00,101474.1032,101474.1032,0
2021-10-13 10:35:00,101474.1032,101474.1032,0
2021-10-13 10:40:00,101474.1032,101474.1032,0
2021-10-13 10:45:00,101474.1032,101474.1032,0
2021-10-13 10:50:00,101474.1032,101474.1032,0
2021-10-13 10:55:00,101474.1032,101474.1032,0
2021-10-13 11:00:00,101474.1032,101474.1032,0
2021-10-13 11:05:00,101474.1032,101474.1032,0
2021-10-13 11:10:00,101474.1032,101474.1032,0
2021-10-13 11:15:00,101474.1032,101474.1032,0
2021-10-13 11:20:00,101474.1032,101474.1032,0
2021-10-13 11:25:00,101474.1032,101474.1032,0
2021-10-13 11:30:00,101474.1032,101474.1032,0
2021-10-13 13:05:00,101474.1032,101474.1032,0
2021-10-13 13:10:00,101474.1032,101474.1032,0
2021-10-13 13:15:00,101474.1032,101474.1032,0
2021-10-13 13:20:00,101474.1032,101474.1032,0
2021-10-13 13:25:00,101474.1032,101474.1032,0
2021-10-13 13:30:00,101474.1032,101474.1032,0
2021-10-13 13:35:00,101474.1032,101474.1032,0
2021-10-13 13:40:00,101474.1032,101474.1032,0
2021-10-13 13:45:00,101474.1032,101474.1032,0
2021-10-13 13:50:00,101474.1032,101474.1032,0
2021-10-13 13:55:00,101474.1032,101474.1032,0
2021-10-13 14:00:00,101474.1032,101474.1032,0
2021-10-13 14:05:00,101474.1032,101474.1032,0
2021-10-13 14:10:00,101474.1032,101474.1032,0
2021-10-13 14:15:00,101474.1032,101474.1032,0
2021-10-13 14:20:00,101474.1032,101474.1032,0
2021-10-13 14:25:00,101474.1032,101474.1032,0
2021-10-13 14:30:00,101474.1032,101474.1032,0
2021-10-13 14:35:00,101474.1032,101474.1032,0
2021-10-13 14:40:00,101474.1032,101474.1032,0
2021-10-13 14:45:00,101474.1032,101474.1032,0
2021-10-13 14:50:00,101474.1032,101474.1032,0
2021-10-13 14:55:00,101474.1032,101474.1032,0
2021-10-13 15:00:00,101474.1032,101474.1032,0
2021-10-14 09:35:00,101454.6372,4124.637199999997,97330.0
2021-10-14 09:40:00,101624.6372,4124.637199999997,97500.0
2021-10-14 09:45:00,101474.63720000001,4124.637199999997,97350.00000000001
2021-10-14 09:50:00,101404.63720000001,4124.637199999997,97280.00000000001
2021-10-14 09:55:00,101624.6372,4124.637199999997,97500.0
2021-10-14 10:00:00,101874.6372,4124.637199999997,97750.0
2021-10-14 10:05:00,101824.63720000001,4124.637199999997,97700.00000000001
2021-10-14 10:10:00,101894.63720000001,4124.637199999997,97770.00000000001
2021-10-14 10:15:00,101964.63720000001,4124.637199999997,97840.00000000001
2021-10-14 10:20:00,101894.6372,4124.637199999997,97770.0
2021-10-14 10:25:00,101884.6372,4124.637199999997,97760.0
2021-10-14 10:30:00,101904.6372,4124.637199999997,97780.0
2021-10-14 10:35:00,101844.6372,4124.637199999997,97720.0
2021-10-14 10:40:00,101914.6372,4124.637199999997,97790.0
2021-10-14 10:45:00,101934.6372,4124.637199999997,97810.0
2021-10-14 10:50:00,101994.6372,4124.637199999997,97870.0
2021-10-14 10:55:00,101954.6372,4124.637199999997,97830.0
2021-10-14 11:00:00,101904.6372,4124.637199999997,97780.0
2021-10-14 11:05:00,101974.63720000001,4124.637199999997,97850.00000000001
2021-10-14 11:10:00,102034.6372,4124.637199999997,97910.0
2021-10-14 11:15:00,101954.6372,4124.637199999997,97830.0
2021-10-14 11:20:00,101894.6372,4124.637199999997,97770.0
2021-10-14 11:25:00,101984.6372,4124.637199999997,97860.0
2021-10-14 11:30:00,101964.6372,4124.637199999997,97840.0
2021-10-14 13:05:00,101994.6372,4124.637199999997,97870.0
2021-10-14 13:10:00,102094.6372,4124.637199999997,97970.0
2021-10-14 13:15:00,101994.6372,4124.637199999997,97870.0
2021-10-14 13:20:00,101974.6372,4124.637199999997,97850.0
2021-10-14 13:25:00,102084.6372,4124.637199999997,97960.0
2021-10-14 13:30:00,102084.63720000001,4124.637199999997,97960.00000000001
2021-10-14 13:35:00,102058.84920000001,102058.84920000001,0
2021-10-14 13:40:00,102058.84920000001,102058.84920000001,0
2021-10-14 13:45:00,102058.84920000001,102058.84920000001,0
2021-10-14 13:50:00,102058.84920000001,102058.84920000001,0
2021-10-14 13:55:00,102058.84920000001,102058.84920000001,0
2021-10-14 14:00:00,102058.84920000001,102058.84920000001,0
2021-10-14 14:05:00,102058.84920000001,102058.84920000001,0
2021-10-14 14:10:00,102058.84920000001,102058.84920000001,0
2021-10-14 14:15:00,102058.84920000001,102058.84920000001,0
2021-10-14 14:20:00,102058.84920000001,102058.84920000001,0
2021-10-14 14:25:00,102058.84920000001,102058.84920000001,0
2021-10-14 14:30:00,102058.84920000001,102058.84920000001,0
2021-10-14 14:35:00,102058.84920000001,102058.84920000001,0
2021-10-14 14:40:00,102058.84920000001,102058.84920000001,0
2021-10-14 14:45:00,102058.84920000001,102058.84920000001,0
2021-10-14 14:50:00,102058.84920000001,102058.84920000001,0
2021-10-14 14:55:00,102058.84920000001,102058.84920000001,0
