,stock_name,amount,open_time,close_time,market_time,open_price,close_price,market_price,direction,status,unrealized_pnl,realized_pnl,unrealized_return,realized_return,market_value
0,600000.XSHG,6000.0,2021-10-08 09:40:00,2021-10-08 10:15:00,2021-10-08 10:15:00,9.06,9.08,9.08,short,0,0.0,-196.24799999999746,0.0,-0.0036094326388584953,0.0
1,601336.XSHG,1000.0,2021-10-08 09:40:00,2021-10-08 10:15:00,2021-10-08 10:15:00,41.11,42.14,42.14,long,0,0.0,971.2100000000064,0.0,0.02361994154319237,0.0
0,600000.XSHG,6000.0,2021-10-08 10:30:00,2021-10-08 10:55:00,2021-10-08 10:55:00,9.1,9.08,9.08,short,0,0.0,43.70399999999744,0.0,0.0008002795045386059,0.0
1,601336.XSHG,1000.0,2021-10-08 10:30:00,2021-10-08 10:55:00,2021-10-08 10:55:00,41.84,42.2,42.2,long,0,0.0,300.9920000000008,0.0,0.007192442964561983,0.0
0,600000.XSHG,5400.0,2021-10-11 09:40:00,2021-10-12 14:20:00,2021-10-12 14:20:00,9.19,9.12,9.12,long,0,0.0,-447.0227999999995,0.0,-0.009006033396149924,0.0
1,601336.XSHG,900.0,2021-10-11 09:40:00,2021-10-12 14:20:00,2021-10-12 14:20:00,43.3,42.35,42.35,short,0,0.0,801.4679999999962,0.0,0.020562169321331945,0.0
0,600000.XSHG,6000.0,2021-10-14 09:35:00,2021-10-14 13:35:00,2021-10-14 13:35:00,9.08,9.07,9.07,long,0,0.0,-136.19999999999166,0.0,-0.0024995000999798508,0.0
1,601336.XSHG,1000.0,2021-10-14 09:35:00,2021-10-14 13:35:00,2021-10-14 13:35:00,42.85,42.07,42.07,short,0,0.0,720.9460000000012,0.0,0.01682151317694457,0.0
0,600000.XSHG,6000.0,2021-10-18 13:15:00,2021-10-19 09:45:00,2021-10-19 09:45:00,9.04,9.03,9.03,short,0,0.0,-15.864000000001283,0.0,-0.0002924193922277728,0.0
1,601336.XSHG,1000.0,2021-10-18 13:15:00,2021-10-19 09:45:00,2021-10-19 09:45:00,41.35,41.83,41.83,long,0,0.0,421.5340000000012,0.0,0.010192254173107367,0.0
0,600000.XSHG,6000.0,2021-10-19 10:10:00,2021-10-19 10:25:00,2021-10-19 10:25:00,9.01,9.05,9.05,long,0,0.0,164.0280000000125,0.0,0.0030335775242290148,0.0
1,601336.XSHG,1000.0,2021-10-19 10:10:00,2021-10-19 10:25:00,2021-10-19 10:25:00,42.14,43.06,43.06,short,0,0.0,-980.1000000000017,0.0,-0.02325353628847087,0.0
0,600000.XSHG,6000.0,2021-10-19 10:35:00,2021-10-19 10:45:00,2021-10-19 10:45:00,9.05,9.03,9.03,long,0,0.0,-195.87599999999838,0.0,-0.0036065715033788523,0.0
1,601336.XSHG,1000.0,2021-10-19 10:35:00,2021-10-19 10:45:00,2021-10-19 10:45:00,43.0,42.93,42.93,short,0,0.0,9.884000000000281,0.0,0.00022981450221584243,0.0
0,600000.XSHG,6000.0,2021-10-19 14:00:00,2021-10-19 14:15:00,2021-10-19 14:15:00,9.02,9.03,9.03,long,0,0.0,-15.83999999999719,0.0,-0.0002926244019488266,0.0
1,601336.XSHG,1000.0,2021-10-19 14:00:00,2021-10-19 14:15:00,2021-10-19 14:15:00,42.77,42.92,42.92,short,0,0.0,-210.05799999999857,0.0,-0.004910357652575133,0.0
0,600000.XSHG,6000.0,2021-10-20 09:55:00,2021-10-21 09:40:00,2021-10-21 09:40:00,9.01,9.04,9.04,long,0,0.0,104.10000000000252,0.0,0.0019252531291744338,0.0
1,601336.XSHG,1000.0,2021-10-20 09:55:00,2021-10-21 09:40:00,2021-10-21 09:40:00,42.65,43.24,43.24,short,0,0.0,-650.4180000000035,0.0,-0.015247079540715622,0.0
0,600000.XSHG,5400.0,2021-10-22 09:35:00,2021-10-22 09:40:00,2021-10-22 09:40:00,9.1,9.09,9.09,long,0,0.0,-122.73120000000404,0.0,-0.0024970830009823034,0.0
1,601336.XSHG,900.0,2021-10-22 09:35:00,2021-10-22 09:40:00,2021-10-22 09:40:00,43.3,43.6,43.6,short,0,0.0,-324.88200000000387,0.0,-0.008335053543563904,0.0
0,600000.XSHG,5400.0,2021-10-22 10:25:00,2021-10-22 10:30:00,2021-10-22 10:30:00,9.05,9.04,9.04,long,0,0.0,-122.35319999999916,0.0,-0.0025031457796838253,0.0
1,601336.XSHG,900.0,2021-10-22 10:25:00,2021-10-22 10:30:00,2021-10-22 10:30:00,43.02,43.31,43.31,short,0,0.0,-315.51839999999925,0.0,-0.008147510432827408,0.0
0,600000.XSHG,5400.0,2021-10-25 09:45:00,2021-10-25 09:50:00,2021-10-25 09:50:00,9.03,9.02,9.02,long,0,0.0,-122.20199999999721,0.0,-0.002505589690478237,0.0
1,601336.XSHG,900.0,2021-10-25 09:45:00,2021-10-25 09:50:00,2021-10-25 09:50:00,42.89,42.96,42.96,short,0,0.0,-117.11700000000027,0.0,-0.0030334338821207617,0.0
0,600000.XSHG,5400.0,2021-10-25 10:35:00,2021-10-25 10:40:00,2021-10-25 10:40:00,9.05,9.05,9.05,long,0,0.0,-68.41799999999019,0.0,-0.0013997200559886015,0.0
1,601336.XSHG,900.0,2021-10-25 10:35:00,2021-10-25 10:40:00,2021-10-25 10:40:00,43.04,43.05,43.05,short,0,0.0,-63.24119999999821,0.0,-0.0016322943589720256,0.0
0,600000.XSHG,5400.0,2021-10-25 10:45:00,2021-10-25 11:15:00,2021-10-25 11:15:00,9.04,9.04,9.04,long,0,0.0,-68.3423999999988,0.0,-0.0013997200559887778,0.0
1,601336.XSHG,900.0,2021-10-25 10:45:00,2021-10-25 11:15:00,2021-10-25 11:15:00,42.94,42.99,42.99,short,0,0.0,-99.15840000000384,0.0,-0.0025652997020531683,0.0
0,600000.XSHG,5400.0,2021-10-25 11:20:00,2021-10-25 14:15:00,2021-10-25 14:15:00,9.05,9.05,9.05,long,0,0.0,-68.41799999999019,0.0,-0.0013997200559886015,0.0
1,601336.XSHG,900.0,2021-10-25 11:20:00,2021-10-25 14:15:00,2021-10-25 14:15:00,42.98,43.08,43.08,short,0,0.0,-144.26280000000128,0.0,-0.0037287098187622,0.0
0,600000.XSHG,5400.0,2021-10-26 10:00:00,2021-10-26 10:25:00,2021-10-26 10:25:00,9.03,9.04,9.04,long,0,0.0,-14.331599999998446,0.0,-0.0002938504214992785,0.0
1,601336.XSHG,900.0,2021-10-26 10:00:00,2021-10-26 10:25:00,2021-10-26 10:25:00,42.88,43.08,43.08,short,0,0.0,-234.24479999999616,0.0,-0.006068562406921501,0.0
0,600000.XSHG,5400.0,2021-10-26 10:30:00,2021-10-26 13:05:00,2021-10-26 13:05:00,9.04,9.04,9.04,long,0,0.0,-68.3423999999988,0.0,-0.0013997200559887778,0.0
1,601336.XSHG,900.0,2021-10-26 10:30:00,2021-10-26 13:05:00,2021-10-26 13:05:00,42.95,43.0,43.0,short,0,0.0,-99.17099999999745,0.0,-0.0025650283214602053,0.0
0,600000.XSHG,5400.0,2021-10-26 13:10:00,2021-10-27 10:05:00,2021-10-27 10:05:00,9.04,9.0,9.0,long,0,0.0,-284.08319999999634,0.0,-0.0058183053654755025,0.0
1,601336.XSHG,900.0,2021-10-26 13:10:00,2021-10-27 10:05:00,2021-10-27 10:05:00,42.9,42.73,42.73,short,0,0.0,99.12960000000153,0.0,0.0025669458182955877,0.0
